                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 2.6548,                 1.2723,                 2.6829,                0.90684,                  0.841,                0.90306,                  0.538,                 2.9257,                 1.4304,                  3.174,               0.006634,               0.006634,               0.006634
                     36,                  2.652,                 1.2461,                 2.6677,                0.92073,                0.84646,                0.90595,                0.53542,                 2.9515,                 1.4053,                 3.1766,               0.006535,               0.006535,               0.006535
                     37,                 2.6306,                 1.2547,                 2.6582,                0.92584,                0.84814,                0.90581,                0.53331,                 2.9564,                 1.3561,                 3.1694,               0.006436,               0.006436,               0.006436
                     38,                 2.6316,                 1.2481,                   2.66,                0.91261,                0.84525,                0.89936,                0.52819,                 2.9831,                 1.4063,                 3.2553,               0.006337,               0.006337,               0.006337
                     39,                 2.6102,                 1.2376,                 2.6658,                0.90182,                0.84307,                  0.895,                0.52645,                 2.9571,                 1.4356,                  3.356,               0.006238,               0.006238,               0.006238
                     40,                 2.5899,                 1.2176,                 2.6531,                0.92615,                0.85195,                0.90825,                 0.5378,                 2.9418,                 1.3627,                 3.2626,               0.006139,               0.006139,               0.006139
                     41,                 2.5815,                 1.2285,                 2.6326,                0.91772,                0.85124,                0.90304,                0.53474,                 2.9329,                  1.395,                 3.2073,                0.00604,                0.00604,                0.00604
                     42,                 2.5718,                 1.2113,                 2.6366,                0.90175,                0.85125,                 0.9039,                0.52905,                 2.9961,                 1.4004,                 3.2744,               0.005941,               0.005941,               0.005941
                     43,                 2.5585,                 1.1922,                 2.6106,                0.90868,                0.83257,                 0.8989,                0.53745,                 2.9368,                 1.4519,                 3.1946,               0.005842,               0.005842,               0.005842
                     44,                 2.5503,                 1.1961,                 2.6157,                0.92104,                0.85008,                0.90598,                0.54322,                 2.9315,                 1.3759,                 3.1935,               0.005743,               0.005743,               0.005743
                     45,                  2.532,                 1.1781,                 2.5868,                0.92181,                 0.8457,                0.90501,                0.53783,                 2.9496,                 1.3901,                 3.1837,               0.005644,               0.005644,               0.005644
                     46,                 2.5058,                 1.1548,                 2.6046,                0.91818,                0.85159,                0.90905,                0.53701,                 2.9725,                 1.3481,                  3.281,               0.005545,               0.005545,               0.005545
                     47,                 2.4977,                 1.1568,                 2.6002,                0.91152,                0.85875,                0.90631,                0.53434,                 2.9618,                  1.359,                 3.2795,               0.005446,               0.005446,               0.005446
                     48,                 2.4936,                 1.1506,                 2.5873,                0.92626,                0.85185,                0.90968,                0.53923,                 2.9701,                 1.3554,                 3.2528,               0.005347,               0.005347,               0.005347
                     49,                 2.4623,                 1.1284,                 2.5654,                0.93139,                0.85195,                 0.9068,                0.53063,                 3.0125,                 1.3712,                 3.2824,               0.005248,               0.005248,               0.005248
                     50,                 2.4507,                 1.1129,                 2.5632,                0.92476,                0.84384,                0.89914,                0.52262,                 3.0243,                 1.4046,                 3.3177,               0.005149,               0.005149,               0.005149
                     51,                  2.443,                  1.113,                 2.5536,                0.93221,                0.84479,                0.90322,                0.52949,                 3.0093,                 1.3661,                 3.3207,                0.00505,                0.00505,                0.00505
                     52,                 2.4384,                 1.1055,                 2.5429,                0.92823,                0.85365,                0.90715,                0.53183,                 3.0159,                 1.3394,                 3.3145,               0.004951,               0.004951,               0.004951
                     53,                  2.406,                 1.0983,                 2.5406,                0.92848,                0.85678,                0.90972,                0.53537,                 2.9921,                 1.3311,                 3.3058,               0.004852,               0.004852,               0.004852
                     54,                 2.3997,                 1.1005,                 2.5517,                0.92515,                0.85654,                0.91121,                0.53715,                 3.0026,                 1.3187,                 3.3905,               0.004753,               0.004753,               0.004753
                     55,                 2.3889,                 1.0837,                 2.5416,                0.92735,                0.84871,                0.90642,                0.53582,                 2.9931,                 1.3362,                 3.3892,               0.004654,               0.004654,               0.004654
                     56,                 2.3805,                 1.0833,                 2.5171,                0.92252,                0.84908,                0.90553,                0.53643,                  2.998,                 1.3591,                 3.3557,               0.004555,               0.004555,               0.004555
                     57,                 2.3468,                 1.0536,                 2.4918,                0.92716,                0.84546,                0.90383,                0.53401,                 3.0018,                 1.3747,                 3.3067,               0.004456,               0.004456,               0.004456
                     58,                 2.3345,                 1.0538,                 2.4754,                0.92123,                0.85225,                0.90435,                0.53623,                 2.9854,                 1.3841,                 3.2661,               0.004357,               0.004357,               0.004357
                     59,                 2.3195,                 1.0387,                 2.4759,                0.92641,                 0.8461,                0.90331,                0.53451,                 2.9939,                 1.3776,                 3.2792,               0.004258,               0.004258,               0.004258
                     60,                 2.3118,                 1.0362,                 2.4772,                0.92425,                0.84215,                0.90389,                0.53407,                  3.005,                 1.3723,                 3.3003,               0.004159,               0.004159,               0.004159
                     61,                 2.3014,                 1.0368,                 2.4638,                0.93371,                0.83763,                0.90339,                0.53359,                 3.0046,                 1.3706,                 3.2773,                0.00406,                0.00406,                0.00406
                     62,                 2.2787,                 1.0214,                 2.4631,                0.93172,                0.83502,                 0.9028,                0.53148,                 3.0079,                 1.3787,                 3.2938,               0.003961,               0.003961,               0.003961
                     63,                 2.2715,                 1.0117,                 2.4615,                0.92446,                0.83679,                0.90121,                0.53046,                 3.0115,                 1.3836,                 3.3086,               0.003862,               0.003862,               0.003862
                     64,                 2.2502,                0.99967,                 2.4531,                0.92504,                0.83883,                0.89945,                0.52855,                 3.0153,                  1.386,                 3.3387,               0.003763,               0.003763,               0.003763
                     65,                 2.2421,                0.99209,                 2.4295,                0.92439,                0.83944,                0.90019,                0.52858,                 3.0266,                 1.3828,                 3.3299,               0.003664,               0.003664,               0.003664
