                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 2.2738,                0.91424,                 2.4609,                0.94192,                0.91231,                0.96637,                0.67896,                  2.269,                0.95483,                 2.7566,               0.006535,               0.006535,               0.006535
                     37,                 2.2569,                0.91183,                  2.456,                0.95053,                0.89593,                0.96104,                0.67404,                 2.2915,                0.96587,                 2.7202,               0.006436,               0.006436,               0.006436
                     38,                 2.2578,                0.92153,                 2.4496,                0.94282,                 0.8981,                0.96043,                0.67122,                 2.3186,                0.97932,                 2.7572,               0.006337,               0.006337,               0.006337
                     39,                 2.2462,                 0.9068,                 2.4312,                0.94711,                0.91135,                0.96523,                0.66964,                 2.3449,                0.93923,                 2.7252,               0.006238,               0.006238,               0.006238
                     40,                 2.2315,                0.89589,                 2.4421,                0.93418,                0.90951,                0.96293,                0.66935,                 2.3401,                0.96728,                 2.7684,               0.006139,               0.006139,               0.006139
                     41,                 2.2315,                0.89094,                 2.4259,                0.94483,                0.90954,                0.96411,                0.67431,                 2.2858,                0.93832,                 2.7594,                0.00604,                0.00604,                0.00604
                     42,                 2.2166,                0.87565,                 2.4534,                0.95637,                  0.904,                0.96528,                0.66314,                 2.3615,                 0.9481,                 2.8927,               0.005941,               0.005941,               0.005941
                     43,                 2.2164,                0.87451,                 2.4429,                0.95299,                0.91111,                0.96809,                0.66143,                 2.3721,                 0.9429,                  2.911,               0.005842,               0.005842,               0.005842
                     44,                 2.2127,                0.86793,                 2.4349,                0.95596,                0.90207,                0.96547,                0.66119,                   2.38,                0.96877,                 2.8527,               0.005743,               0.005743,               0.005743
                     45,                  2.195,                0.86169,                 2.4191,                0.95027,                0.91255,                0.96707,                0.67169,                 2.3162,                0.92421,                 2.7938,               0.005644,               0.005644,               0.005644
                     46,                 2.1806,                 0.8573,                 2.4123,                0.95738,                0.90797,                0.96658,                0.66887,                 2.3116,                0.92159,                 2.7883,               0.005545,               0.005545,               0.005545
                     47,                 2.1684,                0.84786,                  2.424,                0.95775,                0.89844,                0.96472,                0.65752,                  2.385,                0.94701,                 2.8976,               0.005446,               0.005446,               0.005446
